prop_num;prop_name;source;shape;D;B;B1;B2;tw;tf;tf1;tf2;Rr;Rr1;Rr2;Rt1;Rt2;Rt3;Rt4;Ri;Ro;Rh;Rh1;Rh2;alpha1;alpha2
1;BS EN - HE 160 A - BS EN 10365-2017 BSL;STANDARD;7;0.152;0.16;0.16;0.16;0.006;;0.009;0.009;;;;;;;;;;;;;;
2;BS EN - IPE 220 - BS EN 10365-2017 BSL;STANDARD;7;0.22;0.11;0.11;0.11;0.0059;;0.0092;0.0092;;;;;;;;;;;;;;
